嗚呼,ああ,"Ah!;Oh!;Alas!",
素質,そしつ,"character;qualities;genius",
然して,そして,"and",
祖先,そせん,"ancestor",
注ぐ,そそぐ,"to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)",
,そそっかしい,"careless;thoughtless",
育つ,そだつ,"to raise (child);to be brought up;to grow (up)",
育てる,そだてる,"to be brought up;to raise;to rear;to bring up",
其方,そちら,"over there;the other",
,そっくり,"all;altogether;entirely;be just like;the splitting image of",
率直,そっちょく,"frankness;candour;openheartedness",
,そっと,"softly;secretly",
卒業,そつぎょう,"graduation",
袖,そで,"sleeve",
外,そと,"outside",
備える,そなえる,"to furnish;to provide for;to equip;to install;to have ready;to prepare for;to possess;to have;to be endowed with;to be armed with",
園,その,"garden;park;plantation",
その上,そのうえ,"in addition;furthermore",
その内,そのうち,"eventually;sooner or later;of the previously mentioned",
その為,そのため,"hence;for that reason",
その外,そのほか,"besides;in addition;the rest",
其の儘,そのまま,"without change;as it is (i.e. now)",
蕎麦,そば,"soba (buckwheat noodles)",
祖父,そふ,"grandfather",
祖母,そぼ,"grandmother",
素朴,そぼく,"simplicity;artlessness;naivete",
粗末,そまつ,"crude;rough;plain;humble",
其れ,それ,"it;that",
其れから,それから,"and then;after that",
各々,それぞれ,"each;every;either;respectively;severally",
其れで,それで,"and (conj);thereupon;because of that",
其れでは,それでは,"in that situation;well then ...",
其れでも,それでも,"but (still);and yet;nevertheless;even so;notwithstanding",
其れ共,それとも,"or;or else",
其れなら,それなら,"If that's the case...;If so...;That being the case...",
其れに,それに,"besides;moreover",
其れ程,それほど,"to that degree;extent",
逸れる,それる,"to stray (turn) from subject;to get lost;to go astray",
揃う,そろう,"to become complete;to be equal;to be all present;to gather",
揃える,そろえる,"to put things in order;to arrange;to make uniform;to get something ready",
徐々,そろそろ,"gradually;steadily;quietly;slowly;soon",
算盤,そろばん,"abacus",
損害,そんがい,"damage;injury;loss",
尊敬,そんけい,"respect;esteem;reverence;honour",
存在,そんざい,"existence;being",
損失,そんしつ,"loss",
存続,そんぞく,"duration;continuance",
尊重,そんちょう,"respect;esteem;regard",
損得,そんとく,"loss and gain;advantage and disadvantage",
,そんな,"such;like that;that sort of",
沿い,ぞい,"along",
増加,ぞうか,"increase;addition",
雑巾,ぞうきん,"house-cloth;dust cloth",
増減,ぞうげん,"increase and decrease;fluctuation",
造船,ぞうせん,"shipbuilding",
増大,ぞうだい,"enlargement",
草履,ぞうり,"zoori (Japanese footwear);sandals",
属する,ぞくする,"to belong to;to come under;to be affiliated with;to be subject to",
続々,ぞくぞく,"successively;one after another",
存じる,ぞんじる,"to know",
田,た,"rice field",
対,たい,"ratio;versus;against;opposition",
体育,たいいく,"physical education;gymnastics;athletics",
退院,たいいん,"leaving hospital",
体温,たいおん,"temperature (body)",
大会,たいかい,"convention;tournament;mass meeting;rally",
大金,たいきん,"great cost",
退屈,たいくつ,"tedium;boredom",
体系,たいけい,"system;organization",
太鼓,たいこ,"drum;tambourine",
対策,たいさく,"counter-plan;counter-measure",
滞在,たいざい,"stay;sojourn",
大使,たいし,"ambassador",
大した,たいした,"considerable;great;important;significant;a big deal",
対して,たいして,"for;in regard to;per",
対象,たいしょう,"target;object (of worship  study  etc);subject (of taxation  etc)",
対照,たいしょう,"contrast;antithesis;comparison",
体重,たいじゅう,"one's body weight",
対する,たいする,"to face;to confront;to oppose",
体制,たいせい,"order;system;structure;set-up;organization",
体積,たいせき,"capacity;volume",
大切,たいせつ,"important",
大戦,たいせん,"great war;great battle",
体操,たいそう,"gymnastics;physical exercises;calisthenics",
体操,たいそう,"gymnastics;physical exercises;calisthenics",
大抵,たいてい,"usually;generally",
態度,たいど,"attitude;manner",
大半,たいはん,"majority;mostly;generally",
台風,たいふう,"typhoon",
対辺,たいへん,"(geometrical) opposite side",
逮捕,たいほ,"arrest;apprehension;capture",
大木,たいぼく,"large tree",
太陽,たいよう,"sun;solar",
平ら,たいら,"flatness;level;smooth;calm;plain;sitting tailor fashion",
大陸,たいりく,"continent",
対立,たいりつ,"confrontation;opposition;antagonism",
田植え,たうえ,"rice planting",
絶えず,たえず,"constantly",
倒す,たおす,"to throw down;to beat;to bring down;to blow down;to fell;to knock down;to trip up;to defeat;to ruin;to overthrow;to kill;to leave unpaid;to cheat",
倒れる,たおれる,"to collapse;to break down;to go bankrupt;to fall;to drop;to die;to succumb to;to fall senseless;to be ruined;to have a bad debt",
高,たか,"quantity;amount;volume;number;amount of money",
高い,たかい,"tall;high;expensive",
高める,たかめる,"to raise;to lift;to boost",
宝,たから,"treasure",
互い,たがい,"mutual;reciprocal",
耕す,たがやす,"to till;to plow;to cultivate",
滝,たき,"waterfall",
宅,たく,"house;home;husband",
炊く,たく,"to boil;to cook",
沢山,たくさん,"many;a lot;much",
蓄える,たくわえる,"to store;to lay in stock",
竹,たけ,"bamboo;middle (of a three-tier ranking system)",
確,たしか,"certain;sure;definite;if I'm not mistaken;if I remember correctly",
確か,たしか,"certain;sure;definite;if I'm not mistaken;if I remember correctly",
確かめる,たしかめる,"to ascertain",
多少,たしょう,"more or less;somewhat;a little;some",
足す,たす,"to add (numbers);to do (e.g. one's business)",
助かる,たすかる,"to be saved;to be rescued;to survive;to be helpful",
助ける,たすける,"to help;to save;to rescue;to give relief to;to spare (life);to reinforce;to promote;to abet",
訪ねる,たずねる,"to visit",
尋ねる,たずねる,"to ask;to enquire",
戦い,たたかい,"battle;fight;struggle;conflict",
戦う,たたかう,"to fight;to battle;to combat;to struggle against;to wage war;to engage in contest",
叩く,たたく,"to strike;to clap;to dust;to beat",
畳む,たたむ,"to fold (clothes)",
只,ただ,"free;only",
只,ただ,"free;only",
唯,ただ,"free of charge;mere;sole;usual;common",
ただ今,ただいま,"Here I am;I'm home!;presently;right away;right now;just now",
但し,ただし,"but;however;provided that",
正しい,ただしい,"right;just;correct;righteous;honest;truthful;proper;straightforward;perfect",
直ちに,ただちに,"at once;immediately;directly;in person",
館,たち,"1.  mansion;small castle",
立ち上がる,たちあがる,"to stand up",
立ち止まる,たちどまる,"to stop;to halt;to stand still",
立場,たちば,"standpoint;position;situation",
忽ち,たちまち,"at once;in a moment;suddenly;all at once",
達する,たっする,"to reach;to get to",
,たった,"only;merely;but;no more than",
,たっぷり,"full;in plenty;ample",
立つ,たつ,"to stand;to erect;to be erected;to rise;to be built",
建つ,たつ,"to stand;to erect;to be erected;to rise;to be built",
発つ,たつ,"to depart (on a plane  train  etc.)",
経つ,たつ,"to pass;to lapse",
縦,たて,"length;height",
建物,たてもの,"building",
立てる,たてる,"to stand (something) up;to erect (something)",
建てる,たてる,"to build;to construct",
仮令,たとえ,"example;even if;if;though;although",
例えば,たとえば,"for example;e.g.",
例える,たとえる,"to compare;to liken;to speak figuratively;to illustrate;to use a simile",
棚,たな,"shelves;rack",
谷,たに,"valley",
楽しい,たのしい,"enjoyable;fun",
楽しみ,たのしみ,"enjoyment;pleasure",
楽しむ,たのしむ,"to enjoy oneself",
頼み,たのみ,"request;favor;reliance;dependence",
頼む,たのむ,"to request;to beg;to ask",
頼もしい,たのもしい,"reliable;trustworthy;hopeful;promising",
束,たば,"bundle;bunch;sheaf;coil",
煙草,たばこ,"(pt:) (n) (uk) tobacco (pt: tabaco);cigarettes",
足袋,たび,"tabi;Japanese socks (with split toe)",
度,たび,"times (three times  etc.);degree",
旅,たび,"travel;trip;journey",
度,たび,"times (three times  etc.);degree",
度々,たびたび,"often;repeatedly;frequently",
多分,たぶん,"perhaps;probably",
食べる,たべる,"to eat",
弾,たま,"bullet;shot;shell",
球,たま,"globe;sphere;ball",
卵,たまご,"1.  egg(s);spawn;roe; 2.  (an expert) in the making",
偶々,たまたま,"casually;unexpectedly;accidentally;by chance",
偶に,たまに,"occasionally;once in a while",
堪らない,たまらない,"intolerable;unbearable;unendurable",
溜まる,たまる,"to collect;to gather;to save",
溜まる,たまる,"to collect;to gather;to save",
為,ため,"good;advantage;benefit;welfare;sake;to;in order to;because of;as a result of",
溜息,ためいき,"a sigh",
試し,ためし,"trial;test",
例,ためし,"instance;example;case;precedent;experience;custom;usage;parallel;illustration",
試す,ためす,"to attempt;to test",
躊躇う,ためらう,"to hesitate",
便り,たより,"news;tidings;information;correspondence;letter",
頼る,たよる,"to rely on;to have recourse to;to depend on",
足りる,たりる,"to be sufficient;to be enough",
足る,たる,"to be sufficient;to be enough",
誰,たれ,"adjectival suffix for a person",
歎,たん,"grief;sigh;lamentation",
反,たん,"roll of cloth (c. 10 yds.);.245 acres;300 tsubo",
単位,たんい,"unit;denomination;credit (in school)",
短期,たんき,"short term",
炭鉱,たんこう,"coal mine;coal pit",
単語,たんご,"word;vocabulary;single-character word",
短所,たんしょ,"defect;demerit;weak point",
単純,たんじゅん,"simplicity",
誕生,たんじょう,"birth",
箪笥,たんす,"chest of drawers",
淡水,たんすい,"fresh water",
単数,たんすう,"singular (number)",
担当,たんとう,"(in) charge",
単なる,たんなる,"mere;simple;sheer",
単に,たんに,"simply;merely;only;solely",
短編,たんぺん,"short (e.g. story  film)",
台,だい,"stand;rack;table;support",
題,だい,"title;subject;theme;topic",
第,だい,"ordinal",
第一,だいいち,"first;foremost;# 1",
大学,だいがく,"university",
大学院,だいがくいん,"graduate school",
代金,だいきん,"price;payment;cost;charge;the money;the bill",
大工,だいく,"carpenter",
大小,だいしょう,"size",
大丈夫,だいじょうぶ,"safe;all right;O.K.",
大臣,だいじん,"cabinet minister",
大体,だいたい,"general;substantially;outline;main point",
大統領,だいとうりょう,"president;chief executive",
台所,だいどころ,"kitchen",
代表,だいひょう,"representative;representation;delegation;type;example;model",
大分,だいぶ,"considerably;greatly;a lot",
大部分,だいぶぶん,"most part;greater part;majority",
題名,だいめい,"title",
代名詞,だいめいし,"pronoun",
代理,だいり,"representation;agency;proxy;deputy;agent;attorney;substitute;alternate;acting (principal  etc.)",
楕円,だえん,"ellipse",
,だから,"so;therefore",
,だけど,"however",
出す,だす,"to put out;to send",
脱線,だっせん,"derailment;digression",
,だって,"but;because;even;also;too",
妥当,だとう,"valid;proper;right;appropriate",
騙す,だます,"to trick;to cheat;to deceive",
黙る,だまる,"to be silent",
駄目,だめ,"useless;no good;hopeless",
,だらけ,"implying (negatively) that something is full of  e.g. mistakes",
,だらしない,"slovenly;loose;a slut",
誰か,だれか,"someone;somebody",
段,だん,"step;stair;flight of steps;grade;rank;level",
壇,だん,"1.  platform;podium;rostrum; 2.  (arch) mandala",
段階,だんかい,"gradation;grad;stage",
男子,だんし,"youth;young man",
断水,だんすい,"water outage",
男性,だんせい,"male;man",
団体,だんたい,"organization;association",
段々,だんだん,"gradually;by degrees",
団地,だんち,"multi-unit apartments",
断定,だんてい,"conclusion;decision",
暖房,だんぼう,"heating",
血,ち,"blood;consanguinity",
地,ち,"earth",
地位,ちい,"(social) position;status",
地域,ちいき,"area;region",
小さい,ちいさい,"small;little;tiny",
知恵,ちえ,"wisdom;wit;sagacity;sense;intelligence;advice",
地下,ちか,"basement;underground",
近い,ちかい,"near;close by;short",
誓う,ちかう,"to swear;to vow;to take an oath;to pledge",
近く,ちかく,"near;neighbourhood;vicinity",
近頃,ちかごろ,"lately;recently;nowadays",
地下水,ちかすい,"underground water",
近付く,ちかづく,"to approach;to get near;to get acquainted with;to get closer",
近付ける,ちかづける,"to bring near;to put close;to let come near;to associate with",
地下鉄,ちかてつ,"underground train;subway",
近寄る,ちかよる,"to approach;to draw near",
力,ちから,"force;strength;energy;might;power;agency;authority;influence;vigor;stress;emphasis;exertions;endeavors;efficacy;help;support;good offices;ability;faculty;capability;attainment;means;resources",
力,ちから,"force;strength;energy;might;power;agency;authority;influence;vigor;stress;emphasis;exertions;endeavors;efficacy;help;support;good offices;ability;faculty;capability;attainment;means;resources",
力強い,ちからづよい,"reassuring;emboldened",
違い,ちがい,"difference;discrepancy",
違いない,ちがいない,"(phrase) sure;no mistaking it;for certain",
違う,ちがう,"to differ (from)",
地球,ちきゅう,"the earth",
契る,ちぎる,"to pledge;to promise;to swear",
地区,ちく,"district;section;sector",
遅刻,ちこく,"lateness;late coming",
知識,ちしき,"knowledge;information",
地質,ちしつ,"geological features",
知事,ちじ,"prefectural governor",
知人,ちじん,"friend;acquaintance",
地図,ちず,"map",
地帯,ちたい,"area;zone",
父,ちち,"father",
父親,ちちおや,"father",
父母,ちちはは,"father and mother;parents",
縮む,ちぢむ,"to shrink;to be contracted",
縮める,ちぢめる,"to shorten;to reduce;to boil down;to shrink",
縮れる,ちぢれる,"to be wavy;to be curled",
些とも,ちっとも,"not at all (neg. verb)",
地点,ちてん,"site;point on a map",
知能,ちのう,"brain",
地平線,ちへいせん,"horizon",
地名,ちめい,"place name",
茶,ちゃ,"tea",
茶色,ちゃいろ,"light brown;tawny",
着,ちゃく,"counter for suits of clothing;arriving at ..",
着々,ちゃくちゃく,"steadily",
茶碗,ちゃわん,"rice bowl;tea cup;teacup",
,ちゃん,"suffix for familiar (female) person",
,ちゃんと,"perfectly;properly;exactly",
中,ちゅう,"medium;mediocre",
注,ちゅう,"annotation;explanatory note",
注意,ちゅうい,"caution;being careful;attention (heed);warning;advice",
中央,ちゅうおう,"centre;central;center;middle",
中間,ちゅうかん,"middle;midway;interim",
昼間,ちゅうかん,"daytime;during the day",
中学,ちゅうがく,"middle school;junior high school",
仲間,ちゅうげん,"samurai's attendant;footman",
中古,ちゅうこ,"1.  used;second-hand;old; 2.  Middle Ages",
中止,ちゅうし,"suspension;stoppage;discontinuance;interruption",
中指,ちゅうし,"middle finger",
注射,ちゅうしゃ,"injection",
駐車,ちゅうしゃ,"parking (e.g. car)",
抽象,ちゅうしょう,"abstract",
昼食,ちゅうしょく,"lunch;midday meal",
中心,ちゅうしん,"center;core;heart;pivot;emphasis;balance",
中旬,ちゅうじゅん,"second third of a month",
中世,ちゅうせい,"Middle Ages;mediaeval times",
中性,ちゅうせい,"neuter gender;neutral (chem.);indifference;sterility",
中途,ちゅうと,"in the middle;half-way",
中年,ちゅうねん,"middle-aged",
注目,ちゅうもく,"notice;attention;observation",
注文,ちゅうもん,"order;request",
庁,ちょう,"government office",
超過,ちょうか,"excess;being more than",
長期,ちょうき,"long time period",
彫刻,ちょうこく,"carving;engraving;sculpture",
調査,ちょうさ,"investigation;examination;inquiry;survey",
調子,ちょうし,"tune;tone;key;pitch;time;rhythm;vein;mood;way;manner;style;knack;condition;state of health;strain;impetus;spur of the moment;trend",
長所,ちょうしょ,"strong point",
長女,ちょうじょ,"eldest daughter",
頂上,ちょうじょう,"top;summit;peak",
調整,ちょうせい,"regulation;adjustment;tuning",
調節,ちょうせつ,"regulation;adjustment;control",
長短,ちょうたん,"length;long and short;+-",
長大,ちょうだい,"very long;great length",
頂点,ちょうてん,"top;summit",
恰度,ちょうど,"just;right;exactly",
長男,ちょうなん,"eldest son",
長方形,ちょうほうけい,"rectangle;oblong",
調味料,ちょうみりょう,"condiment;seasoning",
丁目,ちょうめ,"district of a town;city block (of irregular size)",
貯金,ちょきん,"(bank) savings",
直後,ちょくご,"immediately following",
直接,ちょくせつ,"direct;immediate;personal;firsthand",
直線,ちょくせん,"straight line",
直前,ちょくぜん,"just before",
直通,ちょくつう,"direct communication",
直流,ちょくりゅう,"direct current",
著者,ちょしゃ,"author;writer",
貯蔵,ちょぞう,"storage;preservation",
直角,ちょっかく,"right angle",
直径,ちょっけい,"diameter",
一寸,ちょっと,"(ateji) (adv int) (uk) just a minute;a short time;a while;just a little;somewhat;easily;readily;rather",
散らかす,ちらかす,"to scatter around;to leave untidy",
散らかる,ちらかる,"to be in disorder;to lie scattered around",
散らす,ちらす,"to scatter;to disperse;to distribute",
地理,ちり,"geography",
塵紙,ちりがみ,"tissue paper",
散る,ちる,"to fall;to scatter (e.g. blossoms)",
,つい,"just (now);quite (near);unintentionally;unconsciously;by mistake;against one's better judgement",
追加,ついか,"addition;supplement;appendix",
次いで,ついで,"next;secondly;subsequently",
遂に,ついに,"finally;at last",
通,つう,"connoisseur;counter for letters",
通過,つうか,"passage through;passing",
通貨,つうか,"currency",
通学,つうがく,"commuting to school",
通勤,つうきん,"commuting to work",
通行,つうこう,"passage;passing",
通信,つうしん,"correspondence;communication;news;signal",
通じる,つうじる,"to run to;to lead to;to communicate;to understand;to be well informed",
通知,つうち,"notice;notification",
通帳,つうちょう,"passbook",
通訳,つうやく,"interpretation",
通用,つうよう,"popular use;circulation",
通路,つうろ,"passage;pathway",
遣い,つかい,"mission;simple task;doing",
使う,つかう,"to use;to handle;to manipulate;to employ;to need;to want;to spend;to consume;to speak (English);to practise (fencing);to take (one's lunch);to circulate (bad money)",
捕まえる,つかまえる,"to catch;to arrest;to seize",
捕まる,つかまる,"to be caught;to be arrested",
掴む,つかむ,"to seize;to catch;to grasp;to grip;to grab;to hold;to catch hold of;to lay one's hands on",
疲れ,つかれ,"tiredness;fatigue",
疲れる,つかれる,"to get tired;to tire",
月,つき,"moon;month",
付き,つき,"attached to;impression;sociality;appearance;furnished with;under;to",
付き合い,つきあい,"association;socializing;fellowship",
付き合う,つきあう,"to associate with;to keep company with;to get on with",
突き当たり,つきあたり,"end (e.g. of street)",
突き当たる,つきあたる,"to run into;to collide with",
次々,つぎつぎ,"in succession;one by one",
付く,つく,"to adjoin;to be attached;to adhere;to be connected with;to be dyed;to be stained;to be scarred;to be recorded;to start (fires);to follow;to become allied to;to accompany;to study with;to increase;to be added to",
着く,つく,"to arrive at;to reach",
就く,つく,"to settle in (place);to take (seat  position);to study (under teacher)",
点く,つく,"to catch fire;(electricity) comes on",
突く,つく,"1.  to thrust;to strike;to attack; 2.  to poke;to nudge;to pick at",
吐く,つく,"1.  to breathe; 2.  to tell (lies); 3.  to vomit;to disgorge",
机,つくえ,"desk",
作る,つくる,"to make;to create;to manufacture;to draw up;to write;to compose;to build;to coin;to cultivate;to organize;to establish;to make up (a face);to trim (a tree);to fabricate;to prepare (food);to commit (sin);to construct",
造る,つくる,"to make;to create;to manufacture;to draw up;to write;to compose;to build;to coin;to cultivate;to organize;to establish;to make up (a face);to trim (a tree);to fabricate;to prepare (food);to commit (sin);to construct",
次ぐ,つぐ,"to rank next to;to come after",
付け加える,つけくわえる,"to add one thing to another",
付ける,つける,"to attach;to join;to stick;to glue;to fasten;to sew on;to furnish (a house with);to wear;to put on;to make an entry;to appraise;to set (a price);to apply (ointment);to bring alongside;to place (under guard or doctor);to follow;to shadow;to add;to append;to affix;to load;to give (courage to);to keep (an eye on);to establish (relations or understanding)",
着ける,つける,"to arrive;to wear;to put on",
点ける,つける,"to turn on;to switch on;to light up",
浸ける,つける,"to dip in;to soak",
漬ける,つける,"to soak;to moisten;to pickle",
都合,つごう,"circumstances;condition;convenience",
伝える,つたえる,"to convey;to report;to transmit;to communicate;to tell;to impart;to propagate;to teach;to bequeath",
伝わる,つたわる,"to be handed down;to be introduced;to be transmitted;to be circulated;to go along;to walk along",
土,つち,"earth;soil",
途中,つちゅう,"on the way;en route",
突っ込む,つっこむ,"to plunge into;to go into deeply",
銃,つつ,"gun",
包み,つつみ,"bundle;package;parcel;bale",
続き,つづき,"sequel;continuation;(also suffix) continuation (in time and space);second series;succession;spell",
続く,つづく,"to be continued",
続ける,つづける,"to continue;to keep up;to keep on",
勤め,つとめ,"service;duty;business;Buddhist religious services",
勤める,つとめる,"to serve;to fill a post;to serve under;to exert oneself;to endeavor;to be diligent;to play (the part of);to work (for)",
務める,つとめる,"to serve;to fill a post;to serve under;to exert oneself;to endeavor;to be diligent;to play (the part of);to work (for)",
努める,つとめる,"to exert oneself;to make great effort;to try hard",
綱,つな,"rope",
繋がり,つながり,"connection;link;relationship",
繋がる,つながる,"to be tied together;to be connected to;to be related to",
繋ぐ,つなぐ,"to tie;to fasten;to connect;to transfer (phone call)",
繋げる,つなげる,"to connect",
常に,つねに,"always",
翼,つばさ,"wings",
粒,つぶ,"grain",
潰す,つぶす,"to smash;to waste",
潰れる,つぶれる,"to be smashed;to go bankrupt",
妻,つま,"wife",
躓く,つまずく,"to stumble;to trip",
詰らない,つまらない,"insignificant;boring;trifling",
詰まり,つまり,"in short;in brief;in other words;that is to say;in the long run;after all;blockade;stuffing;ultimate",
詰まる,つまる,"1.  to be blocked;to be packed; 2.  to hit the ball near the handle of the bat (baseball)",
罪,つみ,"crime;fault;indiscretion",
積む,つむ,"to pile up;to stack",
爪,つめ,"fingernail or toenail;claw;talon;hoof",
冷たい,つめたい,"cold (to the touch);chilly;icy;freezing;coldhearted",
詰める,つめる,"to pack;to shorten;to work out (details)",
積もり,つもり,"intention;plan",
積もる,つもる,"to pile up",
梅雨,つゆ,"rainy season;rain during the rainy season",
強い,つよい,"strong;powerful;mighty;potent",
釣り,つり,"fishing;angling",
釣り合う,つりあう,"to balance;to be in harmony;to suit",
釣る,つる,"to fish",
吊る,つる,"to hang",
吊るす,つるす,"to hang",
連れ,つれ,"companion;company",
連れる,つれる,"to lead;to take (a person)",
手,て,"hand",
手洗い,てあらい,"restroom;lavatory;hand-washing",
体,てい,"appearance;air;condition;state;form",
提案,ていあん,"proposal;proposition;suggestion",
定員,ていいん,"fixed number of regular personnel;capacity (of boat  hall  aeroplane  etc.)",
定価,ていか,"established price",
低下,ていか,"fall;decline;lowering;deterioration",
定期,ていき,"fixed term",
定期券,ていきけん,"commuter pass;season ticket",
定休日,ていきゅうび,"regular holiday",
抵抗,ていこう,"electrical resistance;resistance;opposition",
停止,ていし,"suspension;interruption;stoppage;ban;standstill;deadlock;stalemate;abeyance",
弟子,ていし,"pupil;disciple;adherent;follower;apprentice;young person;teacher's student-helper",
梯子,ていし,"ladder;stairs",
停車,ていしゃ,"stopping (e.g. train)",
提出,ていしゅつ,"presentation;submission;filing",
停電,ていでん,"failure of electricity",
程度,ていど,"degree;amount;grade;standard;on the order of (following a number)",
丁寧,ていねい,"polite;courteous;careful;care;kind;close;thorough;conscientious",
停留所,ていりゅうじょ,"bus or tram stop",
手入れ,ていれ,"repairs;maintenance",
手紙,てがみ,"letter",
的,てき,"-like;typical",
的確,てきかく,"precise;accurate",
適確,てきかく,"precise;accurate",
適する,てきする,"to fit;to suit",
適切,てきせつ,"pertinent;appropriate;adequate;relevance",
適当,てきとう,"fitness;suitability;adequacy;relevance",
適度,てきど,"moderate",
適用,てきよう,"applying",
手首,てくび,"wrist",
手頃,てごろ,"moderate;handy",
手品,てじな,"sleight of hand;conjuring trick;magic;juggling",
手帳,てちょう,"notebook",
鉄橋,てっきょう,"railway bridge;iron bridge",
,てっきり,"surely;certainly;beyond doubt",
鉄鋼,てっこう,"iron and steel",
徹する,てっする,"to sink in;to penetrate;to devote oneself;to believe in;to go through;to do intently and exclusively",
徹底,てってい,"thoroughness;completeness",
鉄砲,てっぽう,"gun",
鉄,てつ,"iron",
哲学,てつがく,"philosophy",
手伝い,てつだい,"help;helper;assistant",
手伝う,てつだう,"to help;to assist;to take part in",
手続き,てつづき,"procedure;(legal) process;formalities",
鉄道,てつどう,"railroad",
徹夜,てつや,"all night;all night vigil;sleepless night",
手拭い,てぬぐい,"(hand) towel",
手袋,てぶくろ,"glove",
手間,てま,"time;labour",
手前,てまえ,"before;this side;we;you",
寺,てら,"temple",
照らす,てらす,"to shine on;to illuminate",
照る,てる,"to shine",
点,てん,"spot;mark;point;dot",
店,てん,"store;shop;establishment",
店員,てんいん,"shop assistant;employee;clerk;salesperson",
展開,てんかい,"develop;expansion (opposite of compression)",
天気,てんき,"weather;the elements;fine weather",
典型,てんけい,"type;pattern;archetypal",
天候,てんこう,"weather",
天井,てんじょう,"ceiling;ceiling price",
点数,てんすう,"marks;points;score;runs;number of items;credits",
点々,てんてん,"here and there;little by little;sporadically;scattered in drops;dot;spot",
転転,てんてん,"rolling about;moving from place to place;being passed around repeatedly",
天然,てんねん,"nature;spontaneity",
展覧会,てんらんかい,"exhibition",
出,で,"outflow;coming (going) out;graduate (of);rising (of the sun or moon);one's turn to appear on stage",
出会い,であい,"meeting;rendezvous;encounter",
出会う,であう,"to meet by chance;to come across;to happen to encounter;to hold a rendezvous;to have a date",
出合う,であう,"to meet by chance;to come across;to happen to encounter;to hold a rendezvous;to have a date",
出入り,でいり,"in and out;coming and going;free association;income and expenditure;debits and credit",
出入り口,でいりぐち,"exit and entrance",
出掛ける,でかける,"to depart;to go out (e.g. on an excursion or outing);to set out;to start;to be going out",
出来上がり,できあがり,"be finished;ready;made for;cut out",
出来上がる,できあがる,"to be finished;to be ready;by definition;to be very drunk",
出来事,できごと,"incident;affair;happening;event",
出切る,できる,"to be out of;to have no more at hand",
出来るだけ,できるだけ,"if at all possible",
出口,でぐち,"exit;gateway;way out;outlet;leak;vent",
凸凹,でこぼこ,"unevenness;roughness;ruggedness",
,ですから,"therefore",
出鱈目,でたらめ,"irresponsible utterance;nonsense;nonsensical;random;haphazard;unsystematic",
,では,"then;well;so;well then",
出迎え,でむかえ,"meeting;reception",
出迎える,でむかえる,"to meet;to greet",
,でも,"but;however",
出る,でる,"to appear;to come forth;to leave",
電気,でんき,"electricity;(electric) light",
伝記,でんき,"biography;life story",
電球,でんきゅう,"light bulb",
電子,でんし,"electron",
電車,でんしゃ,"electric train",
伝染,でんせん,"contagion",
電線,でんせん,"electric line",
電池,でんち,"battery",
電柱,でんちゅう,"telephone pole;telegraph pole;lightpole",
電灯,でんとう,"electric light",
伝統,でんとう,"tradition;convention",
電波,でんぱ,"electro-magnetic wave",
電報,でんぽう,"telegram",
電流,でんりゅう,"electric current",
電力,でんりょく,"electric power",
電話,でんわ,"telephone",
都,と,"metropolitan;municipal",
都,と,"metropolitan;municipal",
問い,とい,"question;query",
問い合わせ,といあわせ,"enquiry;ENQ",
党,とう,"party (political)",
塔,とう,"tower;pagoda",
等,とう,"et cetera;etc.;and the like",
等,とう,"et cetera;etc.;and the like",
等,とう,"et cetera;etc.;and the like",
答案,とうあん,"examination paper;examination script",
統一,とういつ,"unity;consolidation;uniformity;unification;compatible",
統計,とうけい,"statistics",
峠,とうげ,"ridge;(mountain) pass;difficult part",
東西,とうざい,"East and West;whole country;Orient and Occident;Your attention please",
投書,とうしょ,"letter to the editor;letter from a reader;contribution",
当時,とうじ,"at that time;in those days",
当日,とうじつ,"appointed day;very day",
登場,とうじょう,"entry (on stage)",
灯台,とうだい,"lighthouse",
到着,とうちゃく,"arrival",
丁々,とうとう,"clashing of swords;felling of trees;ringing of an ax",
盗難,とうなん,"theft;robbery",
当番,とうばん,"being on duty",
投票,とうひょう,"voting;poll",
等分,とうぶん,"division into equal parts",
透明,とうめい,"transparency;cleanness",
灯油,とうゆ,"lamp oil;kerosene",
東洋,とうよう,"Orient",
遠い,とおい,"far;distant",
十日,とおか,"ten days;the tenth (day of the month)",
遠く,とおく,"far away;distant;at a distance;distant place;by far",
通す,とおす,"to let pass;to overlook;to continue;to keep;to make way for;to persist in",
通り,とおり,"avenue;street;way",
通りかかる,とおりかかる,"to happen to pass by",
通り過ぎる,とおりすぎる,"to pass;to pass through",
通る,とおる,"to pass (by);to go through;to walk along;to pass exams",
都会,とかい,"city",
溶かす,とかす,"to melt;to dissolve",
尖る,とがる,"to taper to a point;to become sharp;to be sour;to look displeased",
時,とき,"time;hour;occasion",
時々,ときどき,"sometimes",
溶く,とく,"to dissolve (paint)",
解く,とく,"to solve;to answer;to untie",
得意,とくい,"pride;triumph;prosperity;one's strong point;one's forte;one's specialty;customer;client",
特殊,とくしゅ,"special;unique",
特色,とくしょく,"characteristic;feature",
特徴,とくちょう,"feature;characteristic",
特定,とくてい,"specific;special;particular",
特売,とくばい,"special sale",
特別,とくべつ,"special",
時計,とけい,"watch;clock",
溶け込む,とけこむ,"to melt into",
溶ける,とける,"to melt;to thaw;to fuse;to dissolve",
解ける,とける,"to loosen",
床,とこ,"bed;sickbed;alcove;padding",
床の間,とこのま,"alcove",
